id,v_f_init,d_init,v_l_init,a_1,a_2,tau_s,tau_1,tau_2
66,0,5.72,0,0,0,5,0,0
67,0,2.99,0,0,0,5,0,0
68,2.47,12.14,0,0,0,5,0,0
69,0,1.61,0,0,0,5,0,0
70,0,1.08,0,0,0,5,0,0
71,0,1.05,0,0,0,5,0,0
72,2.66,12.94,0,0,0,5,0,0
73,0,1.15,0,0,0,5,0,0
74,0,1.15,0,0,0,5,0,0
75,1.46,6.58,0,0,0,5,0,0
76,0,1.83,0,0,0,5,0,0
77,2.29,9.88,0,0,0,5,0,0
78,1.79,8.15,0,0,0,5,0,0
79,0,1.99,0,0,0,5,0,0
80,0,2.1,0,0,0,5,0,0
81,0,1.02,0,0,0,5,0,0
82,0,2.06,0,0,0,5,0,0
83,0,1.43,0,0,0,5,0,0
84,0,1.22,0,0,0,5,0,0
85,1.73,8.67,0,0,0,5,0,0
86,0,1.54,0,0,0,5,0,0
87,0,1.26,0,0,0,5,0,0
88,0,1.18,0,0,0,5,0,0
89,2.54,12.33,0,0,0,5,0,0
90,0,2.25,0,0,0,5,0,0
91,0,1.45,0,0,0,5,0,0
92,2.12,9.14,0,0,0,5,0,0
93,0,1.15,0,0,0,5,0,0
94,1.81,8.22,0,0,0,5,0,0
95,0,1.83,0,0,0,5,0,0
96,0,1.26,0,0,0,5,0,0
97,0,1.47,0,0,0,5,0,0
98,0,1.24,0,0,0,5,0,0
99,0,0.99,0,0,0,5,0,0
100,0,3.68,0,0,0,5,0,0
101,0,1.56,0,0,0,5,0,0
102,0,2.41,0,0,0,5,0,0
103,0,2.42,0,0,0,5,0,0
104,8.48,38.43,0,0,0,5,0,0
105,2.41,10.97,0,0,0,5,0,0
106,1.07,4.81,0,0,0,5,0,0
107,0,1.31,0,0,0,5,0,0
108,0,1.39,0,0,0,5,0,0
109,0,1.92,0,0,0,5,0,0
110,0,2.8,0,0,0,5,0,0
111,0,1.22,0,0,0,5,0,0
112,0,1.4,0,0,0,5,0,0
113,0,5.13,0,0,0,5,0,0
114,0,1.31,0,0,0,5,0,0
115,0,1.81,0,0,0,5,0,0
116,0,1.14,0,0,0,5,0,0
117,4.86,23.46,0,0,0,5,0,0
118,3.26,16.79,0,0,0,5,0,0
119,0,1.26,0,0,0,5,0,0
120,5.21,24.15,0,0,0,5,0,0
121,4.59,21.4,0,0,0,5,0,0
122,0,1.07,0,0,0,5,0,0
123,0,2.99,0,0,0,5,0,0
124,2.37,11.13,0,0,0,5,0,0
125,0,1.74,0,0,0,5,0,0
126,3.42,16.51,0,0,0,5,0,0
127,1.99,8.66,0,0,0,5,0,0
128,14.07,59.88,0,0,0,5,0,0
129,0,1.82,0,0,0,5,0,0
130,1.16,4.98,0,0,0,5,0,0
131,3.73,17.71,0,0,0,5,0,0
132,0,1.24,0,0,0,5,0,0
133,0,3.63,0,0,0,5,0,0
134,0,1.06,0,0,0,5,0,0
135,0,1.97,0,0,0,5,0,0
136,1.55,7.38,0,0,0,5,0,0
137,0,5.87,0,0,0,5,0,0
138,1.23,6.14,0,0,0,5,0,0
139,1.42,6.15,0,0,0,5,0,0
140,0,1.65,0,0,0,5,0,0
141,0,3.95,0,0,0,5,0,0
142,0,1.17,0,0,0,5,0,0
143,0,1.05,0,0,0,5,0,0
144,5.45,26.17,0,0,0,5,0,0
145,0,1.74,0,0,0,5,0,0
146,0,3.18,0,0,0,5,0,0
147,0,1.07,0,0,0,5,0,0
148,0.62,2.65,0,0,0,5,0,0
149,0,0.99,0,0,0,5,0,0
150,3.15,14.58,0,0,0,5,0,0
151,0,1.55,0,0,0,5,0,0
152,0,1.09,0,0,0,5,0,0
153,4.61,21.8,0,0,0,5,0,0
154,0,0.98,0,0,0,5,0,0
155,1.89,9.19,0,0,0,5,0,0
156,0,1.55,0,0,0,5,0,0
157,3.56,17.48,0,0,0,5,0,0
158,0,1.24,0,0,0,5,0,0
159,0,1.33,0,0,0,5,0,0
160,0,1.01,0,0,0,5,0,0
161,0,1.26,0,0,0,5,0,0
162,0,2.31,0,0,0,5,0,0
163,1.75,8.23,0,0,0,5,0,0
164,0,1.41,0,0,0,5,0,0
165,6.74,32.22,0,0,0,5,0,0
166,0,4.19,0,0,0,5,0,0
167,1.33,5.42,0,0,0,5,0,0
168,15.01,62.97,0,0,0,5,0,0
169,0,1.62,0,0,0,5,0,0
170,8.7,44.92,0,0,0,5,0,0
171,5.18,24.26,0,0,0,5,0,0
172,0,2.4,0,0,0,5,0,0
173,0,1.32,0,0,0,5,0,0
174,3.01,14.26,0,0,0,5,0,0
175,0,1.15,0,0,0,5,0,0
176,0,1.58,0,0,0,5,0,0
177,0,2.43,0,0,0,5,0,0
178,1.2,5.24,0,0,0,5,0,0
179,0.98,4.45,0,0,0,5,0,0
180,3.06,15.7,0,0,0,5,0,0
181,0,1.2,0,0,0,5,0,0
182,0,2.55,0,0,0,5,0,0
183,0,3.67,0,0,0,5,0,0
184,0,0.97,0,0,0,5,0,0
185,1.34,6.1,0,0,0,5,0,0
186,0,1.34,0,0,0,5,0,0
187,0,1.38,0,0,0,5,0,0
188,0,1.27,0,0,0,5,0,0
189,0,1.07,0,0,0,5,0,0
190,0,1.15,0,0,0,5,0,0
191,9.44,55.72,0,0,0,5,0,0
192,0,2.26,0,0,0,5,0,0
193,0,2.76,0,0,0,5,0,0
194,0,1.02,0,0,0,5,0,0
195,2.88,13.97,0,0,0,5,0,0
196,0,1.26,0,0,0,5,0,0
197,2.9,14.4,0,0,0,5,0,0
198,0,1.56,0,0,0,5,0,0
199,2.33,10.43,0,0,0,5,0,0
200,0,1.92,0,0,0,5,0,0
201,0,1.04,0,0,0,5,0,0
202,0,5.66,0,0,0,5,0,0
203,0,2.15,0,0,0,5,0,0
204,0,1.33,0,0,0,5,0,0
205,2.37,10.61,0,0,0,5,0,0
206,0,1.39,0,0,0,5,0,0
207,3.74,16.97,0,0,0,5,0,0
208,2.39,11.49,0,0,0,5,0,0
209,4.74,20.16,0,0,0,5,0,0
210,0.86,3.96,0,0,0,5,0,0
211,2.04,10.42,0,0,0,5,0,0
212,0,1.4,0,0,0,5,0,0
213,6.27,33.36,0,0,0,5,0,0
214,0,0.98,0,0,0,5,0,0
215,0,1.5,0,0,0,5,0,0
216,0,5.98,0,0,0,5,0,0
217,0,2.53,0,0,0,5,0,0
218,1.84,8.58,0,0,0,5,0,0
219,0,1.37,0,0,0,5,0,0
220,0,1.67,0,0,0,5,0,0
221,4.69,24.55,0,0,0,5,0,0
222,1.74,9.18,0,0,0,5,0,0
223,1.75,8.23,0,0,0,5,0,0
224,1.72,8.07,0,0,0,5,0,0
225,0,1.11,0,0,0,5,0,0
226,0,1.48,0,0,0,5,0,0
227,4.88,26.43,0,0,0,5,0,0
228,1.02,4.53,0,0,0,5,0,0
229,0,1.65,0,0,0,5,0,0
230,0,1.91,0,0,0,5,0,0
231,0,2.8,0,0,0,5,0,0
232,5.11,23.6,0,0,0,5,0,0
233,15.68,75.09,0,0,0,5,0,0
234,0,1.01,0,0,0,5,0,0
235,0,1.3,0,0,0,5,0,0
236,3.14,15.9,0,0,0,5,0,0
237,0,1.69,0,0,0,5,0,0
238,0,1.61,0,0,0,5,0,0
239,0,0.96,0,0,0,5,0,0
240,1.73,8.35,0,0,0,5,0,0
241,0,1.65,0,0,0,5,0,0
242,0,1.06,0,0,0,5,0,0
243,0,1.1,0,0,0,5,0,0
244,0,1.11,0,0,0,5,0,0
245,2.4,12.27,0,0,0,5,0,0
246,1.79,9.27,0,0,0,5,0,0
247,0,3.45,0,0,0,5,0,0
248,2.88,14.54,0,0,0,5,0,0
249,0,3.82,0,0,0,5,0,0
250,0,1.26,0,0,0,5,0,0
251,0,1.27,0,0,0,5,0,0
252,0,2.1,0,0,0,5,0,0
253,0,1.18,0,0,0,5,0,0
254,0,1.78,0,0,0,5,0,0
255,0,1.14,0,0,0,5,0,0
256,0,0.97,0,0,0,5,0,0
257,2.83,13.67,0,0,0,5,0,0
258,0,1.36,0,0,0,5,0,0
259,3.02,12.77,0,0,0,5,0,0
260,9.28,47.97,0,0,0,5,0,0
261,0,2.23,0,0,0,5,0,0
262,3.57,16.18,0,0,0,5,0,0
263,3.2,15.23,0,0,0,5,0,0
264,0,1.02,0,0,0,5,0,0
265,0,1.56,0,0,0,5,0,0
266,0,1.89,0,0,0,5,0,0
267,0,1.21,0,0,0,5,0,0
268,0,1.15,0,0,0,5,0,0
269,0,1.64,0,0,0,5,0,0
270,0,1.12,0,0,0,5,0,0
271,12.3,53.54,0,0,0,5,0,0
272,0,1.59,0,0,0,5,0,0
273,0,1.87,0,0,0,5,0,0
274,0,1.25,0,0,0,5,0,0
275,5.14,24.49,0,0,0,5,0,0
276,2.67,14.05,0,0,0,5,0,0
277,1.78,8.07,0,0,0,5,0,0
278,2.2,10.39,0,0,0,5,0,0
279,0,1.81,0,0,0,5,0,0
280,0,3.45,0,0,0,5,0,0
281,0,1.01,0,0,0,5,0,0
282,0,1.54,0,0,0,5,0,0
283,0,3.04,0,0,0,5,0,0
284,0,2.81,0,0,0,5,0,0
285,0.95,4.26,0,0,0,5,0,0
286,14.16,68.09,0,0,0,5,0,0
287,0,1.65,0,0,0,5,0,0
288,0,1.42,0,0,0,5,0,0
289,0,1.13,0,0,0,5,0,0
290,2.82,13,0,0,0,5,0,0
291,0,2.07,0,0,0,5,0,0
292,0,3.8,0,0,0,5,0,0
293,2.66,11.53,0,0,0,5,0,0
294,1.83,8.8,0,0,0,5,0,0
295,0,1.02,0,0,0,5,0,0
296,1.61,7.07,0,0,0,5,0,0
297,10.06,48.24,0,0,0,5,0,0
298,0,3.54,0,0,0,5,0,0
299,0,2.34,0,0,0,5,0,0
300,0,1.04,0,0,0,5,0,0
301,0,2.25,0,0,0,5,0,0
302,1.79,7.94,0,0,0,5,0,0
303,0,1.52,0,0,0,5,0,0
304,0,1.68,0,0,0,5,0,0
305,0,1.15,0,0,0,5,0,0
306,0.82,3.62,0,0,0,5,0,0
307,3.13,14.24,0,0,0,5,0,0
308,1.12,5.4,0,0,0,5,0,0
309,0,1.99,0,0,0,5,0,0
310,0,2.08,0,0,0,5,0,0
311,3.38,16.57,0,0,0,5,0,0
312,1.55,7.09,0,0,0,5,0,0
313,0,1.14,0,0,0,5,0,0
314,1.35,6.42,0,0,0,5,0,0
315,0,2.37,0,0,0,5,0,0
316,0,1.48,0,0,0,5,0,0
317,0,1.14,0,0,0,5,0,0
318,0,1.75,0,0,0,5,0,0
319,5.38,24.72,0,0,0,5,0,0
320,4,19.85,0,0,0,5,0,0
321,0,2.06,0,0,0,5,0,0
322,2.41,13.44,0,0,0,5,0,0
323,0,1.09,0,0,0,5,0,0
324,2.87,13.96,0,0,0,5,0,0
325,0,1.42,0,0,0,5,0,0
326,0,0.96,0,0,0,5,0,0
327,4.5,19.72,0,0,0,5,0,0
328,3.82,18.81,0,0,0,5,0,0
329,2.68,12.89,0,0,0,5,0,0
330,0,2.22,0,0,0,5,0,0
331,0,1.28,0,0,0,5,0,0
332,1.2,5.24,0,0,0,5,0,0
333,0,2.3,0,0,0,5,0,0
334,0,1.5,0,0,0,5,0,0
335,1.36,6.69,0,0,0,5,0,0
336,0,1.6,0,0,0,5,0,0
337,0,2.69,0,0,0,5,0,0
338,4.45,21.99,0,0,0,5,0,0
339,2.68,12.89,0,0,0,5,0,0
340,4.4,21.28,0,0,0,5,0,0
341,0,2.32,0,0,0,5,0,0
342,2.03,9.91,0,0,0,5,0,0
343,3.83,19.55,0,0,0,5,0,0
344,0.85,3.48,0,0,0,5,0,0
345,0,1.09,0,0,0,5,0,0
346,0,1.9,0,0,0,5,0,0
347,0,1.26,0,0,0,5,0,0
348,2.72,11.44,0,0,0,5,0,0
349,2.2,11.6,0,0,0,5,0,0
350,0,6.07,0,0,0,5,0,0
351,3.06,14.89,0,0,0,5,0,0
352,0,2.21,0,0,0,5,0,0
353,0,1.59,0,0,0,5,0,0
354,0,2.53,0,0,0,5,0,0
355,0,1.13,0,0,0,5,0,0
356,0,1.13,0,0,0,5,0,0
357,0,1.01,0,0,0,5,0,0
358,0,1.25,0,0,0,5,0,0
359,4.36,19.41,0,0,0,5,0,0
360,0,1.76,0,0,0,5,0,0
361,0,2.2,0,0,0,5,0,0
362,0,1.26,0,0,0,5,0,0
363,8.41,40.05,0,0,0,5,0,0
364,0,1.04,0,0,0,5,0,0
365,0,1.11,0,0,0,5,0,0
366,0,2.48,0,0,0,5,0,0
367,0.82,3.71,0,0,0,5,0,0
368,0,2.82,0,0,0,5,0,0
369,0,1.16,0,0,0,5,0,0
370,0,1.2,0,0,0,5,0,0
371,0,2.13,0,0,0,5,0,0
372,4.66,19.87,0,0,0,5,0,0
373,5.44,25.59,0,0,0,5,0,0
374,0,2.22,0,0,0,5,0,0
375,0,1.61,0,0,0,5,0,0
376,4.74,20.16,0,0,0,5,0,0
377,0,1.7,0,0,0,5,0,0
378,3.83,19.55,0,0,0,5,0,0
379,2.34,10.59,0,0,0,5,0,0
380,0,0.98,0,0,0,5,0,0
381,0,3.57,0,0,0,5,0,0
382,1.61,6.52,0,0,0,5,0,0
383,0.89,4.24,0,0,0,5,0,0
384,8.7,44.92,0,0,0,5,0,0
385,0,1.38,0,0,0,5,0,0
386,11.29,54.07,0,0,0,5,0,0
387,0,3.23,0,0,0,5,0,0
388,0,1.46,0,0,0,5,0,0
389,0,1.23,0,0,0,5,0,0
390,1.6,7.9,0,0,0,5,0,0
391,0,1.1,0,0,0,5,0,0
392,0,1.13,0,0,0,5,0,0
393,0,1.09,0,0,0,5,0,0
394,1.43,7.16,0,0,0,5,0,0
395,0,2.27,0,0,0,5,0,0
396,6.83,32.16,0,0,0,5,0,0
397,0,1.46,0,0,0,5,0,0
398,2.37,11.34,0,0,0,5,0,0
399,0,1.28,0,0,0,5,0,0
400,0,1.27,0,0,0,5,0,0
401,4.23,19.47,0,0,0,5,0,0
402,0,1.55,0,0,0,5,0,0
403,2.66,12.92,0,0,0,5,0,0
404,1.26,5.9,0,0,0,5,0,0
405,0,1.15,0,0,0,5,0,0
406,0,1.06,0,0,0,5,0,0
407,0,1.31,0,0,0,5,0,0
408,0,1.55,0,0,0,5,0,0
409,0,1.29,0,0,0,5,0,0
410,4.18,20.31,0,0,0,5,0,0
411,0,6.47,0,0,0,5,0,0
412,0,1.68,0,0,0,5,0,0
413,1.39,6.68,0,0,0,5,0,0
414,1.21,5.82,0,0,0,5,0,0
415,2.64,13.55,0,0,0,5,0,0
416,3.81,18.07,0,0,0,5,0,0
417,0,2.18,0,0,0,5,0,0
418,1.7,8.3,0,0,0,5,0,0
419,0,0.96,0,0,0,5,0,0
420,0,2.5,0,0,0,5,0,0
421,0,1.23,0,0,0,5,0,0
422,0,1.71,0,0,0,5,0,0
423,0,1.55,0,0,0,5,0,0
424,0,4.16,0,0,0,5,0,0
425,0,1.33,0,0,0,5,0,0
426,0,2.14,0,0,0,5,0,0
427,0,6.01,0,0,0,5,0,0
428,0,0.99,0,0,0,5,0,0
429,0.92,4.41,0,0,0,5,0,0
430,0,1.22,0,0,0,5,0,0
431,0,1.59,0,0,0,5,0,0
432,0,1.11,0,0,0,5,0,0
433,0,1.4,0,0,0,5,0,0
434,0.96,4.51,0,0,0,5,0,0
435,0,1.73,0,0,0,5,0,0
436,0.66,2.9,0,0,0,5,0,0
437,1.45,6.34,0,0,0,5,0,0
438,0.83,3.7,0,0,0,5,0,0
439,6.64,31.9,0,0,0,5,0,0
440,2.18,10.87,0,0,0,5,0,0
441,2.19,11.13,0,0,0,5,0,0
442,0,2.09,0,0,0,5,0,0
443,0,1.38,0,0,0,5,0,0
444,0,1.24,0,0,0,5,0,0
445,0,3.8,0,0,0,5,0,0
446,0,1.38,0,0,0,5,0,0
447,0,2.9,0,0,0,5,0,0
448,0,1.42,0,0,0,5,0,0
449,0,2.3,0,0,0,5,0,0
450,0,1.71,0,0,0,5,0,0
451,0,1.11,0,0,0,5,0,0
452,0,1.87,0,0,0,5,0,0
453,0,1.09,0,0,0,5,0,0
454,0,1.14,0,0,0,5,0,0
455,0,2.28,0,0,0,5,0,0
456,0,1.26,0,0,0,5,0,0
457,0,1.08,0,0,0,5,0,0
458,0,1.89,0,0,0,5,0,0
459,0,1.75,0,0,0,5,0,0
460,1.3,6.3,0,0,0,5,0,0
461,2.33,11.63,0,0,0,5,0,0
462,0.72,3.37,0,0,0,5,0,0
463,0,1.15,0,0,0,5,0,0
464,0,1.01,0,0,0,5,0,0
465,1.98,9.51,0,0,0,5,0,0
466,0,3.39,0,0,0,5,0,0
467,0,1.18,0,0,0,5,0,0
468,0,1.21,0,0,0,5,0,0
469,0,1.27,0,0,0,5,0,0
470,0,1.72,0,0,0,5,0,0
471,0,1.06,0,0,0,5,0,0
472,0,2.57,0,0,0,5,0,0
473,0,1.52,0,0,0,5,0,0
474,15.97,72.89,0,0,0,5,0,0
475,0,3.23,0,0,0,5,0,0
476,0,1.35,0,0,0,5,0,0
477,0,1.29,0,0,0,5,0,0
478,0,1.93,0,0,0,5,0,0
479,0,1.28,0,0,0,5,0,0
480,1.2,5.29,0,0,0,5,0,0
481,0,1.24,0,0,0,5,0,0
482,0.86,3.92,0,0,0,5,0,0
483,0,1.31,0,0,0,5,0,0
484,2.79,13.2,0,0,0,5,0,0
485,0,1.11,0,0,0,5,0,0
486,0.84,3.64,0,0,0,5,0,0
487,1.01,4.91,0,0,0,5,0,0
488,1.67,8.29,0,0,0,5,0,0
489,3.31,16.39,0,0,0,5,0,0
490,0,3.18,0,0,0,5,0,0
491,0,4.19,0,0,0,5,0,0
492,0,3.94,0,0,0,5,0,0
493,0,1.44,0,0,0,5,0,0
494,0,1.53,0,0,0,5,0,0
495,0,0.98,0,0,0,5,0,0
496,0,1.48,0,0,0,5,0,0
497,0,1.33,0,0,0,5,0,0
498,5.77,29,0,0,0,5,0,0
499,4.58,23.74,0,0,0,5,0,0
500,3.4,16.31,0,0,0,5,0,0
501,0,1.79,0,0,0,5,0,0
502,0,2.1,0,0,0,5,0,0
503,0,2.65,0,0,0,5,0,0
504,1.66,6.83,0,0,0,5,0,0
505,3.11,15.81,0,0,0,5,0,0
506,0,6.46,0,0,0,5,0,0
507,0,2.2,0,0,0,5,0,0
508,1.39,6.68,0,0,0,5,0,0
509,0,3.61,0,0,0,5,0,0
510,6.71,32.02,0,0,0,5,0,0
511,3.95,22.71,0,0,0,5,0,0
512,2.38,11.61,0,0,0,5,0,0
513,1.73,8.2,0,0,0,5,0,0
514,0,2.39,0,0,0,5,0,0
515,0,2.57,0,0,0,5,0,0
516,0,2.4,0,0,0,5,0,0
517,8.09,41.5,0,0,0,5,0,0
518,0,1.09,0,0,0,5,0,0
519,2.52,10.71,0,0,0,5,0,0
520,0,1.1,0,0,0,5,0,0
521,0,1.45,0,0,0,5,0,0
522,0,1.85,0,0,0,5,0,0
523,2.83,13.92,0,0,0,5,0,0
524,0,2.13,0,0,0,5,0,0
525,0,1.5,0,0,0,5,0,0
526,1.78,8.72,0,0,0,5,0,0
527,0,1.99,0,0,0,5,0,0
528,0,0.97,0,0,0,5,0,0
529,0,1.38,0,0,0,5,0,0
530,0,1.13,0,0,0,5,0,0
531,0,1.16,0,0,0,5,0,0
532,1.2,5.83,0,0,0,5,0,0
533,2.68,14.27,0,0,0,5,0,0
534,0,3.38,0,0,0,5,0,0
535,0,0.97,0,0,0,5,0,0
536,0,2.96,0,0,0,5,0,0
537,0,1.01,0,0,0,5,0,0
538,0,8.16,0,0,0,5,0,0
539,0,1.33,0,0,0,5,0,0
540,0,1.06,0,0,0,5,0,0
541,1.84,9.63,0,0,0,5,0,0
542,0,1.11,0,0,0,5,0,0
543,0,1.8,0,0,0,5,0,0
544,0,1.31,0,0,0,5,0,0
545,3.05,14.14,0,0,0,5,0,0
546,0,1.26,0,0,0,5,0,0
547,0,1.21,0,0,0,5,0,0
548,2.72,12.68,0,0,0,5,0,0
549,0,1.22,0,0,0,5,0,0
550,3.88,23.04,0,0,0,5,0,0
551,0,1.39,0,0,0,5,0,0
552,0,1.28,0,0,0,5,0,0
553,1.46,6.58,0,0,0,5,0,0
554,0,7.55,0,0,0,5,0,0
555,0,1.09,0,0,0,5,0,0
556,0,2.33,0,0,0,5,0,0
557,0,1.6,0,0,0,5,0,0
558,0.97,4.35,0,0,0,5,0,0
559,2.04,10.42,0,0,0,5,0,0
560,0,3.14,0,0,0,5,0,0
561,7.42,33.95,0,0,0,5,0,0
562,0,1.19,0,0,0,5,0,0
563,0,1.93,0,0,0,5,0,0
564,0,1.21,0,0,0,5,0,0
565,0,1.07,0,0,0,5,0,0
566,0,2.82,0,0,0,5,0,0
567,3.48,16.43,0,0,0,5,0,0
568,0,2.47,0,0,0,5,0,0
569,0,1.05,0,0,0,5,0,0
570,0,1.58,0,0,0,5,0,0
571,5,25.31,0,0,0,5,0,0
572,4.18,19.94,0,0,0,5,0,0
573,0.67,3.04,0,0,0,5,0,0
574,2.19,11.13,0,0,0,5,0,0
575,0,1.08,0,0,0,5,0,0
576,0,1.48,0,0,0,5,0,0
577,1.36,5.9,0,0,0,5,0,0
578,2.77,12.84,0,0,0,5,0,0
579,0,1.46,0,0,0,5,0,0
580,0,1.11,0,0,0,5,0,0
581,2,9.98,0,0,0,5,0,0
582,0,6.15,0,0,0,5,0,0
583,8.4,40.44,0,0,0,5,0,0
584,2.5,11.26,0,0,0,5,0,0
585,0,1.5,0,0,0,5,0,0
586,0,3.63,0,0,0,5,0,0
587,0,6.81,0,0,0,5,0,0
588,15.84,79.23,0,0,0,5,0,0
589,1.74,9.18,0,0,0,5,0,0
590,1.3,5.5,0,0,0,5,0,0
591,3.05,14.14,0,0,0,5,0,0
592,2.26,10.42,0,0,0,5,0,0
593,1.1,4.99,0,0,0,5,0,0
594,0,1.46,0,0,0,5,0,0
595,4.22,19.91,0,0,0,5,0,0
596,0,1.48,0,0,0,5,0,0
597,0,1.4,0,0,0,5,0,0
598,1.97,9.77,0,0,0,5,0,0
599,0,1.01,0,0,0,5,0,0
600,0,1.06,0,0,0,5,0,0
601,2.28,10.43,0,0,0,5,0,0
602,3.7,17.68,0,0,0,5,0,0
603,0,1.12,0,0,0,5,0,0
604,1.69,8.23,0,0,0,5,0,0
605,2.53,12.07,0,0,0,5,0,0
606,0,2.57,0,0,0,5,0,0
607,0.95,4.18,0,0,0,5,0,0
608,1.95,9.36,0,0,0,5,0,0
609,0,1.53,0,0,0,5,0,0
610,0,2.32,0,0,0,5,0,0
611,0,3.48,0,0,0,5,0,0
612,0,2.19,0,0,0,5,0,0
613,0,0.98,0,0,0,5,0,0
614,0,2.62,0,0,0,5,0,0
615,2.94,13.47,0,0,0,5,0,0
616,3.33,15.19,0,0,0,5,0,0
617,0,1.79,0,0,0,5,0,0
618,0,2.91,0,0,0,5,0,0
619,2.64,13.07,0,0,0,5,0,0
620,5.51,29.29,0,0,0,5,0,0
621,0,0.96,0,0,0,5,0,0
622,0.82,3.62,0,0,0,5,0,0
623,0,1.78,0,0,0,5,0,0
624,0,0.99,0,0,0,5,0,0
625,0,1.19,0,0,0,5,0,0
626,2.18,10.48,0,0,0,5,0,0
627,0,1.11,0,0,0,5,0,0
628,0,1.26,0,0,0,5,0,0
629,0,1.88,0,0,0,5,0,0
630,4.08,21.24,0,0,0,5,0,0
631,0,1.48,0,0,0,5,0,0
632,2.15,10.21,0,0,0,5,0,0
633,0,1.14,0,0,0,5,0,0
634,4.44,22.04,0,0,0,5,0,0
635,0,2.16,0,0,0,5,0,0
636,0,1.29,0,0,0,5,0,0
637,0,1.38,0,0,0,5,0,0
638,1.42,6.41,0,0,0,5,0,0
639,0,3.77,0,0,0,5,0,0
640,0,1.43,0,0,0,5,0,0
641,0,1.02,0,0,0,5,0,0
642,1.98,9.31,0,0,0,5,0,0
643,3.3,15.43,0,0,0,5,0,0
644,1.96,8.83,0,0,0,5,0,0
645,0,0.98,0,0,0,5,0,0
646,0,1.49,0,0,0,5,0,0
647,3.77,16.69,0,0,0,5,0,0
648,0,2.03,0,0,0,5,0,0
649,3,15.32,0,0,0,5,0,0
650,0,2.36,0,0,0,5,0,0
651,0,2.28,0,0,0,5,0,0
652,0,3.12,0,0,0,5,0,0
653,10.09,50.81,0,0,0,5,0,0
654,1.92,8.61,0,0,0,5,0,0
655,3.73,17.71,0,0,0,5,0,0
656,1.82,8.87,0,0,0,5,0,0
657,0,3.4,0,0,0,5,0,0
658,8.24,39.68,0,0,0,5,0,0
659,4.4,18.57,0,0,0,5,0,0
660,0,1.17,0,0,0,5,0,0
661,0,1.39,0,0,0,5,0,0
662,1.94,9,0,0,0,5,0,0
663,0,4.39,0,0,0,5,0,0
664,0,1.45,0,0,0,5,0,0
665,1.46,6.75,0,0,0,5,0,0
666,3.48,15.84,0,0,0,5,0,0
667,0,1.12,0,0,0,5,0,0
668,2.42,11.76,0,0,0,5,0,0
669,1.33,6.41,0,0,0,5,0,0
670,3.89,20.81,0,0,0,5,0,0
